Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
19,Hufflepuff,Nathanael,Hanson,2000-04-02,Left,46165.0,834.3746745171899,1.657752631452837,-5.930073288274398,3.995,-552.9535847871025,132.1048878789385,5.392873836387556,1068.4955970835624,7.049343996672425,-0.5055102535693831,-247.87798,-44.64
20,Hufflepuff,Devin,Velasco,1998-07-11,Left,68803.0,689.02601024097,6.464247433788778,-3.498697288887988,4.254,-679.8208773934109,96.7063874386037,,1068.901379765534,2.049938092922936,-1.1767795554919558,-245.03147,-39.74
21,Slytherin,Tami,Preston,1999-07-02,Right,52568.0,249.23399105028435,-4.962465710401993,3.858093814123652,-5.292000000000002,-462.01283465173935,298.68082923133034,5.459747841603343,1038.5067242576013,10.338426272410487,0.7538927533236297,-250.89025,-54.47
22,Ravenclaw,Brook,Zapata,1998-03-10,Right,10167.0,291.21169783136145,2.2990190664114363,3.1558954878780807,5.292000000000002,80.60277789345403,663.5989742308251,3.1764492150580685,1044.8286635509835,8.365852626000969,-0.0287074854101925,-233.9995,56.19
23,Ravenclaw,Allan,Mcdade,2001-03-20,Left,74358.0,134.71508694315534,3.4090381902488835,5.7737530760000775,5.1770000000000005,804.4358621951868,921.2539038926893,5.218387310919462,1066.551492707158,7.34729282752154,-0.941412140163952,-230.77467,-62.86
24,Gryffindor,Colin,Rouse,1998-08-19,Right,55346.0,844.5556835516724,,-6.100380054691838,7.051,-615.2301811088803,479.8788454524369,4.694028733739815,1056.0091346965394,8.833560290033025,0.7788691777511243,-244.83219,8.61
25,Hufflepuff,Olin,Schumacher,2000-11-27,Right,37040.0,709.2502308805915,3.520114902326005,-3.8370057619264735,4.267,-282.05303301855264,231.94986769424509,6.754121356314237,1034.9631927936318,5.883460233144269,-0.8732157792710319,-243.2424,-18.35
26,Ravenclaw,Freddy,Jernigan,1997-06-01,Right,40696.0,158.46244826363676,1.4319121110295856,5.376509904548224,4.129,595.0470500915502,912.4125494080236,6.513187097015361,1055.3699921508749,11.540263796091356,2.134281515506532,-231.51566,-19.59
27,Slytherin,Kristal,Beck,1999-12-21,Right,65263.0,217.60259786161174,,4.387220178022932,-6.131,-403.6724411221714,234.06649695535717,4.658475488447383,1038.3867354039144,8.137328559912032,1.3520746251923594,-252.47707000000003,-78.07
28,Gryffindor,Magdalena,English,2000-03-02,Right,72647.0,800.1112848709959,-4.712873620303567,-5.356919185632875,4.5310000000000015,-430.6092885756102,896.0768413579939,-4.420345486339965,955.5814240724096,3.5090337904176923,1.0197702494794276,-253.76253,167.45
29,Ravenclaw,Lemuel,Huddleston,1998-08-23,Left,63929.0,114.9215903824791,3.0323630622101096,6.104856445413282,4.605,609.0757038855504,821.2318058503099,3.5420738539380565,1064.3290857952463,6.121348177887724,-0.02452083539483,-232.17381,-38.96
30,Hufflepuff,Ariana,Legg,2000-09-08,Left,52616.0,795.2746651143373,6.050126668674814,-5.276012757953914,5.9110000000000005,-530.0594336738421,231.76418463533741,2.782300473586316,1050.7473694203234,2.6823285515223767,1.3844644223516425,-244.19834,16.98
31,Hufflepuff,Ben,Hughey,1999-07-22,Left,49238.0,651.3759816030154,3.665554418798018,-2.8688918726333954,5.58,,334.74244075606174,3.8542985445559257,1055.1470371711232,5.483182697012012,-0.6954759184659536,-242.81303,0.76
32,Gryffindor,Paulette,Weeks,2000-03-31,Right,74276.0,736.5575956475155,-5.1503543228994175,-4.293800267960689,3.917,-717.899770781555,849.047147526033,-5.640768310162463,942.413406866736,1.9917722552955763,-0.9110255034618324,-255.29606,187.84
33,Hufflepuff,Angeline,Wimberly,2000-06-04,Right,63574.0,747.4727071900368,5.033653851739441,-4.47638701801625,4.265,-627.1640329214506,156.9183364487675,4.779062323301356,1065.2766898979862,4.32117345947944,-1.1343920892774382,-245.70455,-37.65
34,Hufflepuff,Meagan,Romeo,1999-03-31,Right,40221.0,801.736168529501,2.9814306581025534,-5.384100055500221,3.524,-224.30997486678032,97.7597659069652,3.6794777892749377,1041.2723759978771,2.774929846887257,-0.6727605316141291,-247.10056,-15.04
35,Ravenclaw,Agustin,Hibbard,1997-08-14,Left,51621.0,307.5833952264311,9.402830805410147,2.8820315874851428,7.119,273.34106683102266,755.4233916661996,6.303710412286204,1064.686168682534,7.062835368927338,2.245794084558391,-228.43012,1.15
36,Gryffindor,Sherwood,Dickerson,1997-10-03,Left,45938.0,886.9157183073457,-3.447588949158802,-6.808973920008624,5.742000000000001,-460.4004739631205,922.784047459027,-4.724288636929789,961.86009981613,5.447672802656033,-2.8711187052683163,-251.6774,217.76
37,Ravenclaw,Oma,Tomlinson,1998-06-20,Right,48797.0,151.3968677779571,4.275590691727047,5.494702134935478,4.5680000000000005,625.3112247343105,831.3761639092437,6.706888824185561,1058.593379557739,9.028632063380506,-0.0564870809664738,-229.98936,-33.6
38,Slytherin,Summer,Motley,2000-10-11,Right,54372.0,176.98286551276595,-5.078407587783687,5.066702461718342,-6.973,-350.8770991405712,224.30620146413764,3.0069317140992733,1053.5487293790377,8.456521697057545,1.125326214038492,-252.07035,-59.24
39,Ravenclaw,Cathryn,Jackman,1997-07-28,Left,58605.0,125.37761837411563,4.1567990518057005,5.929949193018691,4.2810000000000015,565.216685160348,842.9131166968996,5.5734537590654805,1049.1477532688375,7.38331443930609,-0.2947402987609741,-231.12774,-25.81
40,Ravenclaw,Suzanne,Marvin,1999-03-27,Right,45913.0,201.71107259656375,2.3547463839747205,4.6530518133907846,4.497,532.3115470230682,820.8905055008249,3.7170506671753567,1032.9128812755189,6.490226404635799,-0.1229963987648157,-233.52648,11.47
41,Slytherin,Jeannine,Hopson,2000-12-23,Left,41129.0,167.8153232702543,-5.783493524694444,5.220056070386149,-4.955,-482.95564370502825,234.46529878602726,5.906923767620027,1052.353774235207,10.95558722806608,-1.1986857770114627,-249.32772000000003,-75.81
43,Slytherin,Denise,Fryer,2000-09-23,Left,74197.0,259.9843397883566,-4.654284317474914,3.678263197606187,-3.676,-409.9853850711898,373.0087143828728,5.5362897106534135,1011.3539776741492,7.3740782833035325,,-250.76828,-61.29
44,Hufflepuff,Eldon,Freedman,1996-12-22,Right,74063.0,718.773664461886,5.189909499306158,-3.9963126806148086,4.527,-510.3580826508325,44.94116435587692,,1063.4542599381457,1.5015097902531642,-1.6275838804831069,-245.73654,-82.43
45,Ravenclaw,Natalia,Bergman,1997-01-04,Left,9014.0,327.29331248536806,2.897033644158068,2.552326323168436,6.07,545.8241854946695,738.4947576001114,7.5201219322338195,1082.639640733404,13.158387136758574,-0.9963301144912052,-229.79917000000003,-18.37
46,Slytherin,Mei,Dunlap,1996-11-29,Left,65557.0,264.0824586308598,-5.895356371431812,3.609710329604869,-6.6370000000000005,-352.42331413665886,253.28902014927556,2.5587155876794885,1058.4090779284718,8.656110195079103,0.7371909659748939,-254.08156,-68.69
47,Gryffindor,Dorsey,Milton,1998-10-01,Left,26369.0,1000.0,-6.199249299245689,-8.700634980566134,4.437,-445.6160157047789,676.1486150021827,-3.1680265837476536,927.3418809077672,4.1469076522787365,0.1462723268676237,-256.064,206.59
48,Ravenclaw,Charla,Doss,1999-10-16,Right,35150.0,256.15079887622863,4.959097785015805,3.7423902359441534,5.1720000000000015,815.3132329322071,763.1338279638475,4.013615211973714,1067.6083796308385,7.075334733538637,-2.206312065082873,-230.44896,-5.96
49,Slytherin,Augustus,Tobias,1998-02-02,Right,17451.0,21.99331753699945,-4.355497853921487,7.659350072073304,-2.344,-546.1562492241424,206.88888690889632,6.1859037385027404,1057.1312623375695,10.22197575619466,0.6199289528458307,-243.17219,-65.37
50,Ravenclaw,Dominic,Gregg,1997-05-23,Left,44637.0,286.56068692304115,9.678461975056711,3.2336970717569944,6.263999999999999,348.4699971231546,825.6568290865521,3.8199095362165534,1046.8089087244623,5.729548757133693,-0.3836307582813072,-228.9003,59.62
51,Hufflepuff,Rudolph,Isbell,1998-08-06,Left,41578.0,860.05204798504,4.131627171041456,-6.359601484408131,6.625,-473.3355645074973,191.28757908404816,0.2085338431916774,1053.051753793388,1.4536102478238533,-0.5492280180066682,-246.02093,34.89
52,Ravenclaw,Shirley,Whiteman,1999-09-15,Right,22186.0,83.47496185787182,5.276264040703745,6.630892086931452,3.487,172.70719722428402,640.4907196985637,4.560653145758416,1031.834114702022,6.1253508598403625,-0.0942252903099273,-231.0108,39.01
53,Ravenclaw,Les,Tribble,2000-02-01,Left,16983.0,326.8530611248647,5.571067509606579,2.559690798080918,6.3329999999999975,419.3146721844498,791.3185602010856,3.3217651499927965,1065.762878940547,8.922138717158777,-0.5035788320498802,-230.21003,55.38
54,Hufflepuff,Hong,Cady,2000-08-23,Right,37619.0,782.0514711102065,4.384321748395493,-5.054816665805623,6.331,-527.3580894532702,188.33342124188738,4.642887276941762,1053.4793621348751,4.668927719645751,0.397039787514203,-243.36927000000003,-4.43
55,Slytherin,Normand,Wallace,1998-05-17,Left,42727.0,60.437029684019556,-5.120741722891038,7.016268007941282,-2.6860000000000004,-610.0758199315658,135.22495204846896,7.1875700523596295,1048.1494895387118,8.457520505283156,0.5373810299906517,-246.17299,-112.9
56,Slytherin,Darrell,Wimberly,2001-08-18,Left,38556.0,149.11786409578835,-7.870242966829839,5.532825050498074,,-370.4064342473588,199.05758826963253,6.640549693038234,1058.2171392496066,11.857212397025547,0.2957788036237811,-250.14318,-108.02
57,Ravenclaw,Brandon,Fine,1998-06-26,Left,61279.0,244.64336445781404,3.812411080895035,3.934885296003844,6.077999999999999,581.4002123381555,820.5968829397646,5.022528270494384,1061.3678874035334,7.002986803322508,-0.4616745668876992,-231.79562,-38.63
58,Hufflepuff,Shannon,Reddy,2001-07-02,Right,29026.0,830.1924702678226,2.3647154657380534,-5.860113849107355,6.11,-368.7362370913945,241.71332777575108,8.277285235376675,1041.021255279421,8.300726895330593,1.1359091786810616,-243.25871,-27.86
59,Gryffindor,Jeramy,Herrera,1999-04-10,Left,37002.0,799.1489590521102,-4.638493128789804,-5.340821508290743,6.097,-507.0388715299293,750.1563929652107,-4.4350889454225095,957.6371550161372,3.226146373398282,-0.5370022225653271,-251.34128,186.74
60,Gryffindor,Andrew,Lauer,1997-01-23,Left,43759.0,732.6871621478986,-6.934893925538957,-4.229056094596245,4.086,-329.57751367983934,717.5791502829491,-4.057666540131429,944.0759360875462,2.494312879988073,0.2421650043893766,-253.61265,157.86
61,Gryffindor,Ericka,Carlson,2000-09-28,Left,70217.0,853.7126226750006,-5.386965421996196,-6.253556295582451,2.343,-706.2699781288103,867.5616282220254,-5.2341204211843895,944.5442475233574,4.472214577402354,2.2361024341143265,-257.75982,205.46
62,Hufflepuff,Yesenia,Wentworth,1996-12-09,Left,50906.0,720.185331328017,4.289389184724147,-4.019926884120092,6.127000000000002,-351.72200921071226,274.0016128403182,6.772685681013999,1037.1641176836904,4.821739819423536,1.069716003729669,-242.17409,-31.27
63,Hufflepuff,Deanna,Melendez,1999-11-29,Right,46673.0,755.5474564497488,5.074462696504838,-4.611460509395688,5.865,-490.8074068267667,206.32353699295325,6.26752740399388,1048.9412033076994,5.015789151051656,1.4158307802821457,-242.7843,-23.7
64,Ravenclaw,Bettye,Villasenor,1997-05-21,Left,30996.0,133.4777811191911,4.599200692297832,5.7944505877334525,4.015,427.7919762998589,704.7615105957826,2.617822676413996,1045.6104076976635,5.347644332171424,0.4012113819200694,-231.72331,31.7
65,Hufflepuff,Melissa,Martindale,1998-01-18,Left,99744.0,580.9208695162016,5.271105666424118,-1.690326734694355,3.536,-759.0699194942821,216.5950555610894,2.43232936649291,1079.7051591472325,1.7791135696641671,-0.10931157314216,-246.46014,-64.38
67,Ravenclaw,Dewitt,Geary,1996-11-22,Right,19600.0,248.94390355144947,4.913790426908837,3.862946364959957,5.27,176.6535166494962,728.846925382842,5.739720112113984,1062.7926977284508,10.403166782005632,-0.2150125069051715,-230.59801,26.41
68,Hufflepuff,Kathy,Thibodeaux,1999-09-01,Right,44162.0,762.0784167523285,5.074169743765741,-4.720709673890664,3.182,-238.91552199062863,248.71814539605293,6.718609959567312,1026.8190085203946,5.4639693024339575,,-244.23385,-1.89
69,Ravenclaw,Taylor,Yarbrough,1999-05-26,Right,68534.0,177.77350937793088,5.268869026851389,5.053476660659924,5.17,614.277650367872,898.0275535428277,4.576593697448547,1042.131297703921,5.784011644375773,0.400525829152572,-231.12391,-10.76
70,Slytherin,Benedict,Christopher,1998-01-27,Right,41725.0,153.34977878016326,-6.296241654108268,5.462034060802521,-4.25,-223.80795201939856,309.733972862805,5.4857241372404815,1034.9305517130458,9.558548092238595,3.20552523520994,-248.38773,-68.97
71,Slytherin,Birdie,Haller,2000-07-22,Right,57714.0,247.6939575474127,-5.343482809511984,3.8838553201944417,-6.942,-545.6086229822245,204.592238316557,2.840614552147472,1073.1956048703018,10.067926198038144,1.0421553396969478,-253.65697000000003,-65.4
72,Gryffindor,Wilford,Parks,1996-12-30,Left,,919.129007081186,-3.744274235775044,-7.3478341673733665,5.384,-616.0813496267144,819.1318605317556,-4.786548518004094,951.2904908875088,3.676677538510553,,-254.08185,208.13
73,Ravenclaw,Eleanor,Nathan,1997-11-23,Right,32066.0,234.93635612555693,6.036501765938889,4.097263032341632,5.4170000000000025,169.47764257692089,752.3226438186771,5.401559557599517,1036.316106779361,7.639174531057043,0.0671677448575592,-230.78352,40.68
74,Gryffindor,Chang,Tallent,1999-09-15,Left,54865.0,690.9297971413138,-3.9697355783074064,-3.5305436206069087,6.452000000000001,-288.7053160757335,879.9689773138239,,961.889442086486,1.600662610211394,0.3303809377192446,-249.4093,178.29
75,Hufflepuff,Elbert,Potts,1999-05-13,Left,44605.0,786.5789500040962,5.796347010855286,-5.130551820133649,6.313,-413.81052102843086,379.00982441406165,4.973513070429997,1032.9674744443762,5.312641276957018,,-242.00769,32.94
76,Hufflepuff,Keven,Hager,1999-01-10,Left,35535.0,828.3344412377971,4.841548853925061,-5.829032949862338,2.992,-386.91347098638886,327.5634327522331,3.7267876580126194,1035.051395891422,6.549406923696305,0.9361394450707836,-245.83222,58.99
77,Gryffindor,Lynwood,Almond,1997-10-19,Right,,653.8466228519297,-6.255449948117838,-2.9102204797149755,3.951,-466.2814978008524,787.0201429986721,-5.191954437341037,944.9393390403734,0.9487434074604908,1.6491822210914695,-254.0018,151.97
78,Ravenclaw,Renaldo,Ngo,1996-12-08,Left,4536.0,249.25336643971005,3.0499004362087514,3.857769704803053,4.3610000000000015,333.7264117108156,697.5253246947423,3.517562058120728,,9.926702967483031,2.252369740015041,-232.14038,46.8
80,Ravenclaw,Chantal,Macdonald,1999-12-06,Right,43735.0,104.22991706280462,0.6730226559234422,6.283705546175122,3.2260000000000004,693.8054575123523,775.8089420902801,4.4193976094280085,1055.31378266021,7.903262589285639,-0.9230348837436416,-233.27417000000003,-35.9
81,Hufflepuff,Luella,Fuller,1999-12-25,Right,70453.0,756.8582018498785,7.014549251009398,-4.633386510044208,3.547,-551.9474924299523,93.90779808972924,3.2098555788857874,1058.3433690192576,1.0749306589092211,-0.227172731305023,-246.36528,-23.88
82,Slytherin,Wilbur,Salley,1999-08-25,Left,72488.0,279.687495985657,-6.5446879409317065,3.348671031563036,-3.515,-671.2523274484178,221.46064723094642,5.66248781380288,1060.3837396469455,9.652218736263029,-0.6473876574812174,-252.45307000000005,-117.57
83,Gryffindor,Manuela,Tucker,1997-11-30,Right,42474.0,812.7423291415682,-6.025279040578492,-5.568209864082418,4.185,-691.9108027478865,730.0366811998119,-4.083571961344719,943.7123158018804,3.985277784100429,0.8851573644985737,-254.83519,192.17
84,Gryffindor,Lupe,Myrick,1999-03-23,Right,68654.0,727.0410163436183,,-4.134608006848603,5.488,-653.3299142500288,805.9853958188112,-6.774123439389363,948.6930529449976,-0.1256359836685177,0.3656623961456509,-253.15144,192.49
85,Hufflepuff,Earline,Singletary,2000-02-13,Right,63385.0,716.7928141814882,3.5107419200927685,-3.9631772413995954,4.593,-407.4945713292488,221.57874811065594,9.095451335643132,1047.9965234187748,6.701145542040327,-0.2642532769826985,-243.88771,-82.53
86,Hufflepuff,Mohamed,Wills,2001-05-03,Left,62249.0,767.9634756103759,3.630489795105192,-4.819154272151576,3.701,-660.0657008809961,428.24483713778,4.8104367110817465,1058.9444626916747,8.919097690371412,0.6470087688892295,-246.06211,10.49
87,Hufflepuff,Danilo,Whiting,1999-09-04,Left,49230.0,735.6430952618409,7.144356824318595,-4.278502609050435,4.481,-621.9608770608949,222.6149031016194,1.962218090498052,1056.1321079318868,2.916695362327944,0.608717970478924,-244.08299,38.72
88,Ravenclaw,Alberta,Tomlin,1999-08-17,Right,59914.0,174.34893451238278,6.7187537606327545,5.110762561274546,6.098,585.6336520434269,675.8016474427279,2.3894342491302494,1040.6840144639264,0.6374045294046364,2.2046349727936927,-230.92879,-7.64
89,Ravenclaw,Bruce,Mccool,2000-09-08,Left,46922.0,255.08777566477946,8.201982200262707,3.760172367867957,6.0070000000000014,485.34833356905887,780.782770162897,4.482976105228,1055.746713961863,5.866438312112599,-1.7399535473068062,-229.20374,18.48
90,Hufflepuff,Andria,Lees,1996-12-03,Left,71589.0,700.5788952922145,4.549809154824001,-3.6919526419876574,4.936,-541.6433762070315,275.2955546303639,,1058.9203542296448,1.8972112152306384,0.3048817195830253,-245.83825,-4.13
91,Slytherin,Erwin,Knudsen,2001-10-01,Right,37106.0,79.38110805115353,-5.393878621577025,6.699373609897053,-5.2120000000000015,-830.7996266658545,12.557610349692279,7.384314554111903,1077.3145051178396,11.118487955384648,-0.0266869044791335,-248.80566,-124.65
92,Gryffindor,Jerrold,Lynch,1999-05-29,Right,70896.0,765.1469969154484,-6.358315777268071,-4.7720405354294,2.684,-643.8021143038709,748.6055727766611,-5.263805984910367,936.7165073206392,1.568147866237346,0.1443819031907131,-257.48158,171.99
93,Hufflepuff,Keven,Emanuel,2000-07-11,Right,52045.0,799.0116885538332,6.492318627542515,-5.338525262937568,3.942,,285.04802945277726,2.232403644592752,1037.017267008986,2.712880029582745,-0.6130271084675422,-245.25227,45.85
94,Ravenclaw,Otto,Muniz,1998-08-24,Right,46717.0,99.14185218229922,6.183190468733418,6.368818119416745,4.817,770.3896175440331,716.104095698232,5.711948201515808,1055.4915148288671,5.199295024893383,1.3696315500366896,-228.40478,-38.13
95,Ravenclaw,Domingo,Maloney,1997-12-16,Right,29432.0,202.9569333095379,3.186254084215439,4.632211196442648,4.853,463.7182955271898,780.7932556936746,4.532000513445271,1041.7635930505176,7.919954037884216,-0.7491626944737432,-231.74768,20.45
96,Gryffindor,Jon,Patterson,1999-01-25,Right,23761.0,895.3444258920888,-5.212563901170327,-6.949968386173412,5.212999999999999,-774.0911463243422,737.7542609908921,-3.962911102219575,943.6739836416392,5.385683794273511,0.3513155093616492,-253.74136,228.67
97,Slytherin,Devin,Kuykendall,1999-06-29,Right,72835.0,187.9107277019706,-5.619550793723153,4.883902420288711,-5.062,-397.99546841576574,256.07131629173216,4.925187595983637,1030.7693140449262,7.028466789425553,-0.65989660193076,-251.78655,-92.12
99,Ravenclaw,Jonas,Worthy,2001-06-25,Left,79908.0,187.81754520673888,2.59090534576698,4.885461166518666,5.573,686.0464086694344,874.933081859438,5.093840710448243,1047.660109076373,5.733111737654939,0.3697672000097654,-232.89752,-61.56
100,Hufflepuff,Alec,Carswell,1999-06-02,Right,51723.0,723.952883928356,6.146738209071881,-4.082950077449768,3.405,-327.30678234610207,51.817829814692324,4.8881389998253,1043.4916896080274,1.427603670628666,-0.6621864537033554,-244.8318,-30.99
101,Hufflepuff,Noemi,Bedard,1998-05-01,Left,41238.0,753.4021263727295,6.1116956072110655,-4.575573670765278,5.816,-562.2633447500621,455.49887354973725,10.366995065838168,1035.0043248006614,11.069633620662636,-0.2085986217233584,-239.6017,5.27
102,Hufflepuff,Philip,Ochoa,1999-06-20,Right,59614.0,750.956176899231,7.0059879208602585,-4.534658104907209,5.416,-763.7879171564122,293.7083559310823,5.151240782109671,1062.4002101110373,5.991270413716147,-0.203630408437361,-243.00066,3.8
104,Ravenclaw,Irwin,Hawk,2001-01-29,Right,38150.0,94.59161754241505,4.490907233591372,6.444933929287322,2.866,179.2761051430365,783.0516167827068,6.590827846081238,1034.3278112629605,9.339240387451364,1.1816592441807523,-231.56018,17.95
105,Ravenclaw,Vernell,Caraballo,1999-09-30,Left,,139.24172963311497,1.068593081683571,5.698031909596714,3.731,447.0843779867756,859.7927864889484,,1064.7384297259755,13.390013009929696,-0.3016275989159406,-230.89281,13.14
106,Hufflepuff,Faye,Watts,1998-11-04,Left,57510.0,722.4223238555172,7.92774073316026,-4.057347041843967,0.718,-449.038076994624,194.55772526107583,3.3907973636431934,1042.8694543601855,3.3364052046003767,-0.4885326116902636,-246.26357,31.24
107,Slytherin,Damaris,Beatty,1997-07-23,Right,33737.0,129.18208806534716,-3.9765449771852177,5.866308454772383,,-453.5614382405757,247.34252426959517,4.835170653671363,1047.6070906060056,9.207117020700368,-0.5615979099640617,-246.72453,-47.62
108,Slytherin,John,Lucas,2001-03-05,Left,,143.971415214338,-8.571173123257822,,-7.491,-422.7621296288857,91.79429687266351,5.2750568788255725,1078.5329119619582,10.996144864992782,-0.0698050191734045,-253.64782,-138.01
110,Hufflepuff,Amanda,Giroux,1999-09-30,Right,48873.0,658.8539390853452,8.660523856717504,-2.9939822987305806,3.945,-384.42794958888334,263.34228993952115,0.6229718644935058,1033.0269802185535,-0.0992720475588382,1.4588455848084028,-242.58893,69.7
111,Slytherin,Flossie,King,2001-03-19,Left,66547.0,240.2994694461987,-6.6558953264011205,4.007549479934866,-7.5310000000000015,-381.1116357017947,228.0282598834282,4.351041260663833,1050.557490916653,9.644642778574768,0.4493851615974047,-254.66931,-87.81
112,Gryffindor,Kathi,Royer,1997-04-01,Left,13977.0,744.5875924034492,-6.089386420722066,-4.42812514452388,6.037999999999999,-163.7961201541951,744.4460090537546,-2.8981219815430634,968.8387672594986,5.50714454606387,-0.7487988725779406,-248.69507,163.51
113,Ravenclaw,Herb,Lorenz,2000-03-04,Right,26951.0,176.5978486249187,6.431683810840522,5.073142980625977,4.433,205.2099419125121,787.1178467584862,6.404254446121447,1050.8752424607587,10.061008198012292,-0.3882294532624744,-229.35019,34.89
114,Hufflepuff,Kermit,Shay,1998-09-22,Left,,893.608609583382,4.022092616801076,-6.920931847493479,2.942,-322.4970227906144,303.47454664220953,6.040969278022254,1032.954327169086,8.016668917947621,1.6419063155151183,-246.56534,27.62
115,Ravenclaw,Winford,Heffner,1999-09-02,Left,49114.0,224.36892650068916,5.82553235657842,4.274033798643831,4.9830000000000005,521.33066692059,903.506654859566,5.309596385373847,1037.18899935112,7.8719692592504575,1.0158960807318111,-230.50073,25.52
